omega1,omega2,zeta1,zeta2,varPhi1,varPhi2,upsilon,chi,xi,gammau,n
2.250000,4.875000,2.906250,2.671875,0.781250,3.125000,0.128125,0.800000,0.237500,0.187500,209.000000
3.250000,1.250000,2.953125,2.578125,1.281250,3.750000,0.112500,0.475000,0.218750,0.125000,234.000000
5.000000,3.125000,1.687500,2.625000,0.843750,1.125000,0.229687,0.900000,0.387500,0.118750,212.000000
1.375000,2.250000,2.203125,2.484375,1.250000,1.250000,0.253125,0.150000,0.481250,0.100000,228.000000
2.125000,4.000000,2.109375,2.203125,1.187500,4.125000,0.284375,0.425000,0.406250,0.262500,250.000000
4.125000,2.375000,1.734375,1.968750,0.968750,3.875000,0.292187,0.750000,0.350000,0.225000,241.000000
3.625000,4.125000,2.437500,1.546875,1.437500,2.000000,0.135937,0.400000,0.368750,0.268750,237.000000
2.000000,2.125000,2.671875,1.593750,0.531250,2.375000,0.159375,0.775000,0.331250,0.218750,203.000000
2.625000,4.375000,2.484375,2.156250,1.375000,4.250000,0.300000,0.675000,0.443750,0.143750,153.000000
4.375000,2.625000,2.625000,1.687500,0.937500,3.500000,0.268750,0.275000,0.293750,0.156250,156.000000
3.500000,4.250000,1.921875,1.640625,1.500000,1.625000,0.073438,0.625000,0.425000,0.150000,184.000000
1.750000,2.500000,1.781250,1.500000,0.593750,2.625000,0.167187,0.300000,0.312500,0.168750,194.000000
